State,Year,Quarter,District,Registered_User,App_Opens,Region
Andaman and Nicobar Islands,2023,1,North and Middle Andaman,12941,3103047,Southern Region
Andaman and Nicobar Islands,2023,1,South Andaman,77052,5450795,Southern Region
Andaman and Nicobar Islands,2023,1,Nicobars,2491,2458822,Southern Region
Andaman and Nicobar Islands,2023,2,North and Middle Andaman,13600,3174229,Southern Region
Andaman and Nicobar Islands,2023,2,South Andaman,80112,6884657,Southern Region
Andaman and Nicobar Islands,2023,2,Nicobars,2617,4679790,Southern Region
Andaman and Nicobar Islands,2023,3,North and Middle Andaman,14216,7130284,Southern Region
Andaman and Nicobar Islands,2023,3,South Andaman,83305,5950899,Southern Region
Andaman and Nicobar Islands,2023,3,Nicobars,2734,7463896,Southern Region
Andaman and Nicobar Islands,2023,4,North and Middle Andaman,14813,1869462,Southern Region
Andaman and Nicobar Islands,2023,4,South Andaman,86348,7452861,Southern Region
Andaman and Nicobar Islands,2023,4,Nicobars,2817,523637,Southern Region
Andhra Pradesh,2023,1,East Godavari,2965296,98931582,Southern Region
Andhra Pradesh,2023,1,Srikakulam,1263204,48743038,Southern Region
Andhra Pradesh,2023,1,Visakhapatnam,3732544,107253885,Southern Region
Andhra Pradesh,2023,1,Prakasam,1719910,112502189,Southern Region
Andhra Pradesh,2023,1,Anantapur,2228505,177793392,Southern Region
Andhra Pradesh,2023,1,Kurnool,2114023,149581663,Southern Region
Andhra Pradesh,2023,1,Guntur,2900895,103514892,Southern Region
Andhra Pradesh,2023,1,Krishna,2941585,98727644,Southern Region
Andhra Pradesh,2023,1,Spsr Nellore,1740294,111993275,Southern Region
Andhra Pradesh,2023,1,Vizianagaram,1094782,55519223,Southern Region
Andhra Pradesh,2023,1,Ysr,1628595,109842928,Southern Region
Andhra Pradesh,2023,1,West Godavari,1980446,102965151,Southern Region
Andhra Pradesh,2023,1,Chittoor,2755784,164669558,Southern Region
Andhra Pradesh,2023,2,East Godavari,3082893,101375784,Southern Region
Andhra Pradesh,2023,2,Srikakulam,1317771,48040159,Southern Region
Andhra Pradesh,2023,2,Visakhapatnam,3877504,115516314,Southern Region
Andhra Pradesh,2023,2,Prakasam,1792637,104288559,Southern Region
Andhra Pradesh,2023,2,Anantapur,2323796,164437247,Southern Region
Andhra Pradesh,2023,2,Kurnool,2202517,142843895,Southern Region
Andhra Pradesh,2023,2,Guntur,3014655,97915941,Southern Region
Andhra Pradesh,2023,2,Krishna,3054956,99723659,Southern Region
Andhra Pradesh,2023,2,Spsr Nellore,1811781,113350865,Southern Region
Andhra Pradesh,2023,2,Vizianagaram,1141578,55405616,Southern Region
Andhra Pradesh,2023,2,Ysr,1694843,98586928,Southern Region
